VideoId,Comments
U__YrDLoHRw,Can we get the pdf for the a6design one? I'd love to see more of that! It's incredible
WZKp-MExJxI,How do u calculate distance between text as you make your own text?
U__YrDLoHRw,"$70 - They aren't leaves, it's a lotus."
U__YrDLoHRw,$135 guy won this challenge
0GLAm2bCyCc,"07:35
06:22
06:06"
U__YrDLoHRw,The 135 dollar guy killed it
U__YrDLoHRw,This is the first video i have seen by you and I like your voice
9nCTq5euTzI,Best Youtube Ad ever.
U__YrDLoHRw,135 guy FTW
U__YrDLoHRw,Excellent breakdown Will. This was interesting.
U__YrDLoHRw,"I came down here ot brag on the 135 guy, ut it seems that everyone beat me to it."
dQjcqEE37jA,great video. Thank you.
U__YrDLoHRw,OMG that 135$ guy is insane I loved the Logo so much
U__YrDLoHRw,"A6Designs. He is obviously not working for the money. Hey, quick question, where did you get your chair?"
U__YrDLoHRw,Not sure how that 400$ logo would work as an app icon. App icons need to be color driven and simple with as few details as possible. That probably works more as a brand logo than an app icon
U__YrDLoHRw,The $135 guy killed it. He should charge $500.
U__YrDLoHRw,"Everyone ne gushing over 135$ guy 
Totally overlooking how amazing 40$ guy was. 

Their both my top logos"
U__YrDLoHRw,The first one is the visual studio logo.
U__YrDLoHRw,"$135 does it for me, even the Tee shirts look great . I am sure he will do well"
U__YrDLoHRw,"It's kerning, not tracking."
U__YrDLoHRw,This video is so tired.
U__YrDLoHRw,"I feel scammed watching this.
Nothing got better after the pro.
You know which one I'm talking about."
U__YrDLoHRw,The $135 guy is an engineer
U__YrDLoHRw,"Please tell me that after this video, you give the 135$ some extra tip. He basically designed a whole marketing plan."
U__YrDLoHRw,"it appears that every one likes the $135 design. Not only the price, that design to me amongst the all is the best one as well. The logo looks very simple and elegant, also symbolic. Love it."
U__YrDLoHRw,"Since you have no actual app to use these for, would you mind the public using them? Not for any commercial production, but rather just as pfps?"
U__YrDLoHRw,Why call it fiverr? Should be fiverrx100.
U__YrDLoHRw,The last one was kinda genius. The icon is a head (mind) with scenery(scape) in it
U__YrDLoHRw,You speak so slow.. im watching you on double speed is better.
U__YrDLoHRw,"Damn I wanted to participate 😂

The guy for $135 literally did one of the best logos and the best ways of presenting it"
U__YrDLoHRw,why did you like the last one so much ???? it was defiantly the weakest design ! the £135 guy all the way .... very professional and matched  the brief exactly
U__YrDLoHRw,$70 seem overpriced tho
U__YrDLoHRw,I love will and his videos but it’s weird how he said all the logos are amazing and perfect. Almost seems biased.
U__YrDLoHRw,"man, designers are such snobs. So glad I quit the industry."
U__YrDLoHRw,135$ designer was the best by far! He needs to raise his prices!
U__YrDLoHRw,3:18 That looks like fucking Arby's logo
U__YrDLoHRw,"The most expensive guy delivered the most useless logo, seriously except web this logo would be a pain in the ass to work with anywhere else."
U__YrDLoHRw,This dude got the shortest arms
U__YrDLoHRw,"When creating art, it is not about money but about personality. Everyone can do fascinating things regardless of the financial evaluation."
U__YrDLoHRw,9:15 looks like an app to remind you to take your birth control
U__YrDLoHRw,"Not the best value for money , just do it yourself"
U__YrDLoHRw,its not leaves its a lotus flower. The lotus sutra is very influential in zen buddhism. You assholes don't know what zen means at all.
U__YrDLoHRw,"man, now i'm sad this isn't an app. i would get it just for the aesthetics of the $135 or $450 one alone, not mentioning i love meditation."
9nCTq5euTzI,"you never explained the principle behind grids, it just seems like instructions for a specific logo not understanding the principle of logo design using grids"
U__YrDLoHRw,Very Nice
U__YrDLoHRw,Amazing
U__YrDLoHRw,"""I'm not sure why there's a music note in there ....""
Brief: a guided meditation app _primarily with additional zen music features, calming sounds to help you focus_ ...
Yup, no idea where he got the idea that music was involved :?"
U__YrDLoHRw,.
U__YrDLoHRw,"Those aren't leaves, that's a lotus flower, which is cliche but very iconic and important in Buddhism."
U__YrDLoHRw,I really like the $450 one.
U__YrDLoHRw,this is garbage Youtube content lol be original man
B-F7H1xVcec,can i use any type of fonts ( paid or free) without licensing in my commercial projects to earn money ? i came to know that font licencing is must for paid fonts..what if i use paid fonts without license in my commercial logo design and deliver logo to client ? as a student i dont have enough money to buy a font license..please anyone help me.....
U__YrDLoHRw,"It’s a font, not a typeface"
9nCTq5euTzI,"I tried to do this method in Vectornator and couldn't figure it out, do you know if it is possible to do in Vectornator or could you make a tutorial about it?"
U__YrDLoHRw,I hope the $135 designer watched this video and realizes how much more they should be charging.
U__YrDLoHRw,"The $135 guy deffinitly finnished some graphic design school, making a brandbook when designing a logo is a must be, the only one who's offer was fair, proffesional and atractive, deserves huge tips. The rest of the ""Designers"" are a joke. The last guy is a thief who has no idea what graphic design is and demands huge amounts of money for 2010-style work. Not cool."
U__YrDLoHRw,At 135 dollars it's not bad
U__YrDLoHRw,"Wow that’s a really thick lawn, glad your 4 cylinder can handle it 😂"
U__YrDLoHRw,"You should get someone else to buy the commissions for you, and review them without knowing the price, to remove bias."
U__YrDLoHRw,"I actually really don't like the last one... it's too complex and overdesigned, barely even looks suitable for a website, much less an app icon. It also doesn't feel meditative or zen in any way.
I think #3 did the best job on all these points. The logo is simple and legible, but the artist clearly put a lot of thought into making it fit the theme, as well as making the text fit the icon."
U__YrDLoHRw,what program did the last person use for the logos?
